"Incident_ID","HF_SkillError","HF_DecisionError","HF_PerceptionError","HF_Violation","HF_Fatigue","HF_Stress","HF_Medical","HF_Complacency","HF_Distraction","HF_KnowledgeSkill","HF_Experience","HF_Motivation","HF_CRM","HF_ATC_CommError","HF_ATC_InstructionError","HF_ATC_Separation","HF_ATC_InfoLack","HF_ATC_Workload","HF_Maint_Quality","HF_Maint_Pressure","HF_Ground_FuelError","HF_Ground_LoadError","HF_Ground_Damage","HF_Ground_Deicing","HF_Ground_FOD","Tech_SystemFailure","Tech_DesignFlaw","Tech_ManufacturingDefect","Tech_Fire","Env_Icing","Env_Turbulence","Env_WindShear","Env_Thunderstorm","Env_Visibility","Env_Ceiling","Env_SurfaceWind","Env_Temperature","Env_VolcanicAsh","Env_RunwayCondition","Env_AirportLights","Env_NavAids","Env_Obstacles","Env_Terrain","Env_TrafficDensity","Env_AirspaceComplexity","Env_BirdstrikeRisk","Org_ProceduresQuality","Org_PlanningScheduling","Org_Oversight","Org_SMS_Effectiveness","Org_Resources","Org_Pressure","Org_TrainingQuality","Org_MaintOrganization","Org_SafetyCulture","Org_RegulatoryOversight","Ctx_TaskComplexity","Ctx_Workload","Ctx_UnexpectedEvents","Ctx_FlightPhase","Outcome_Severity","Причина(ы) АП"
"1_A319_01.01.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума."
"2_A319_02.01.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума."
"3_A-319_09.01.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума (70x900)."
"4_A-320_10.01.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума (60x800)."
"5_A-320_14.01.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","Поражение грозовым разрядом."
"6_A-320_01.02.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума (60x800)."
"7_АН-24_03.02.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума по боковой составляющей ветра."
"8_АН-24_03.02.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума по боковой составляющей ветра."
"9_A320_28.02.12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже минимума (70x900)."
"11_АТR-72_02.04.12","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","3","1","0","0","1","1","1","1","0","2","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","1","1","2","2","Сваливание при взлете из-за обледенения (неадекватная/невыполненная ПОО)."
"15_B-747_29.04.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","Опасное сближение с радиозондом."
